"","group","acceptedName","acceptedAuthor","nameSubmitted","url","nameScientific","scientificScore","matchedFamily","matchedFamilyScore","authorAttributed","family","genus","genusScore","speciesMatched","speciesMatchedScore","infraspecific1Rank","infraspecific1Epithet","infraspecific1EpithetScore","infraspecific2Rank","infraspecific2Epithet","infraspecific2EpithetScore","author","authorScore","annotation","unmatched","overall","epithet","epithetScore","acceptance","familySubmitted","selected","acceptedNameUrl"
"11","10","Poa nemoralis","L.","Agostis alba","http://www.tropicos.org/Name/25501694","Agrostis alba","0.97922049354994","","","L.","Poaceae","Agrostis","0.875","alba","1","","","","","","","","","","","0.97922049354994","alba","1","No opinion","",TRUE,"http://www.tropicos.org/Name/25509897"
"12","11","Agrimonia gryposepala","Wallr.","Agrimonia gryposepala","http://www.tropicos.org/Name/27801466","Agrimonia gryposepala","1","","","Wallr.","Rosaceae","Agrimonia","1","gryposepala","1","","","","","","","","","","","1","gryposepala","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27801466"
"13","12","Elytrigia repens subsp. repens","","Agropyron repens","http://www.tropicos.org/Name/25501315","Agropyron repens","1","","","(L.) P. Beauv.","Poaceae","Agropyron","1","repens","1","","","","","","","","","","","1","repens","1","No opinion","",TRUE,"http://www.tropicos.org/Name/25511012"
"14","13","Poa nemoralis","L.","Agrostis alba","http://www.tropicos.org/Name/25501694","Agrostis alba","1","","","L.","Poaceae","Agrostis","1","alba","1","","","","","","","","","","","1","alba","1","No opinion","",TRUE,"http://www.tropicos.org/Name/25509897"
"15","14","Alliaria petiolata","(M. Bieb.) Cavara & Grande","Alliaria petiolata","http://www.tropicos.org/Name/4100299","Alliaria petiolata","1","","","(M. Bieb.) Cavara & Grande","Brassicaceae","Alliaria","1","petiolata","1","","","","","","","","","","","1","petiolata","1","No opinion","",TRUE,"http://www.tropicos.org/Name/4100299"
"16","15","Allium canadense","L.","Allium canadense","http://www.tropicos.org/Name/18401640","Allium canadense","1","","","L.","Amaryllidaceae","Allium","1","canadense","1","","","","","","","","","","","1","canadense","1","No opinion","",TRUE,"http://www.tropicos.org/Name/18401640"
"17","16","Allium cernuum","Roth","Allium cernuum","http://www.tropicos.org/Name/18401650","Allium cernuum","1","","","Roth","Amaryllidaceae","Allium","1","cernuum","1","","","","","","","","","","","1","cernuum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/18401650"
"18","17","Allium stellatum","Nutt. ex Ker Gawl.","Allium stellatum","http://www.tropicos.org/Name/18401727","Allium stellatum","1","","","Nutt. ex Ker Gawl.","Amaryllidaceae","Allium","1","stellatum","1","","","","","","","","","","","1","stellatum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/18401727"
"19","18","Allium tricoccum","Aiton","Allium tricoccum","http://www.tropicos.org/Name/18400477","Allium tricoccum","1","","","Aiton","Amaryllidaceae","Allium","1","tricoccum","1","","","","","","","","","","","1","tricoccum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/18400477"
"20","19","Ambrosia artemisiifolia","L.","Ambrosia artemisiifolia","http://www.tropicos.org/Name/2701648","Ambrosia artemisiifolia","1","","","L.","Asteraceae","Ambrosia","1","artemisiifolia","1","","","","","","","","","","","1","artemisiifolia","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2701648"
"21","20","Ambrosia trifida","L.","Ambrosia trifida","http://www.tropicos.org/Name/2700037","Ambrosia trifida","1","","","L.","Asteraceae","Ambrosia","1","trifida","1","","","","","","","","","","","1","trifida","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700037"
"22","21","","","Andropogon gerardii","http://www.tropicos.org/Name/25518577","Andropogon gerardii","1","","","Vitman","","Andropogon","1","gerardii","1","","","","","","","","","","","1","gerardii","1","No opinion","",TRUE,""
"23","22","Anemone caroliniana","Walter","Anemone caroliniana","http://www.tropicos.org/Name/27100649","Anemone caroliniana","1","","","Walter","Ranunculaceae","Anemone","1","caroliniana","1","","","","","","","","","","","1","caroliniana","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27100649"
"24","23","Thalictrum thalictroides","(L.) A.J. Eames & B. Boivin","Anemonella thalictroides","http://www.tropicos.org/Name/27101401","Anemonella thalictroides","1","","","(L.) Spach","Ranunculaceae","Anemonella","1","thalictroides","1","","","","","","","","","","","1","thalictroides","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27100858"
"25","24","Anemone quinquefolia","L.","Anemone quinquefolia","http://www.tropicos.org/Name/27100670","Anemone quinquefolia","1","","","L.","Ranunculaceae","Anemone","1","quinquefolia","1","","","","","","","","","","","1","quinquefolia","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27100670"
"26","25","Anemone virginiana","L.","Anemone virginiana","http://www.tropicos.org/Name/27100048","Anemone virginiana","1","","","L.","Ranunculaceae","Anemone","1","virginiana","1","","","","","","","","","","","1","virginiana","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27100048"
"27","26","Aquilegia canadensis","L.","Aquilegia canadensis","http://www.tropicos.org/Name/27100055","Aquilegia canadensis","1","","","L.","Ranunculaceae","Aquilegia","1","canadensis","1","","","","","","","","","","","1","canadensis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27100055"
"28","27","Arctium minus","(Hill) Bernh.","Arctium minus","http://www.tropicos.org/Name/2701732","Arctium minus","1","","","(Hill) Bernh.","Asteraceae","Arctium","1","minus","1","","","","","","","","","","","1","minus","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2701732"
"29","28","Moehringia lateriflora","(L.) Fenzl","Arenaria lateriflora","http://www.tropicos.org/Name/6301538","Arenaria lateriflora","1","","","L.","Caryophyllaceae","Arenaria","1","lateriflora","1","","","","","","","","","","","1","lateriflora","1","No opinion","",TRUE,"http://www.tropicos.org/Name/6300177"
"30","29","Arisaema dracontium","(L.) Schott","Arisaema dracontium","http://www.tropicos.org/Name/2101479","Arisaema dracontium","1","","","(L.) Schott","Araceae","Arisaema","1","dracontium","1","","","","","","","","","","","1","dracontium","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2101479"
"31","30","Arisaema triphyllum","(L.) Schott","Arisaema triphyllum","http://www.tropicos.org/Name/2101549","Arisaema triphyllum","1","","","(L.) Schott","Araceae","Arisaema","1","triphyllum","1","","","","","","","","","","","1","triphyllum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2101549"
"32","31","Aruncus dioicus","(Walter) Fernald","Aruncus dioicus","http://www.tropicos.org/Name/27801005","Aruncus dioicus","1","","","(Walter) Fernald","Rosaceae","Aruncus","1","dioicus","1","","","","","","","","","","","1","dioicus","1","No opinion","",TRUE,"http://www.tropicos.org/Name/27801005"
"33","32","Asarum canadense","L.","Asarum canadense","http://www.tropicos.org/Name/2500002","Asarum canadense","1","","","L.","Aristolochiaceae","Asarum","1","canadense","1","","","","","","","","","","","1","canadense","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2500002"
"34","33","Asclepias meadii","Torr. ex A. Gray","Asclepias meadii","http://www.tropicos.org/Name/2600161","Asclepias meadii","1","","","Torr. ex A. Gray","Apocynaceae","Asclepias","1","meadii","1","","","","","","","","","","","1","meadii","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2600161"
"35","34","Asclepias syriaca","L.","Asclepias syriaca","http://www.tropicos.org/Name/2600005","Asclepias syriaca","1","","","L.","Apocynaceae","Asclepias","1","syriaca","1","","","","","","","","","","","1","syriaca","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2600005"
"36","35","Asclepias verticillata","L.","Asclepias verticillata","http://www.tropicos.org/Name/2600006","Asclepias verticillata","1","","","L.","Apocynaceae","Asclepias","1","verticillata","1","","","","","","","","","","","1","verticillata","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2600006"
"37","36","Symphyotrichum lateriflorum","(L.) Á. Löve & D. Löve","Aster lateriflorus","http://www.tropicos.org/Name/2700208","Aster lateriflorus","1","","","(L.) Britton","Asteraceae","Aster","1","lateriflorus","1","","","","","","","","","","","1","lateriflorus","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2701360"
"38","37","Symphyotrichum pilosum","(Willd.) G.L. Nesom","Aster pilosus","http://www.tropicos.org/Name/2701873","Aster pilosus","1","","","Willd.","Asteraceae","Aster","1","pilosus","1","","","","","","","","","","","1","pilosus","1","No opinion","",TRUE,"http://www.tropicos.org/Name/50264950"
"39","38","Symphyotrichum cordifolium","(L.) G.L. Nesom","Aster sagittifolius","http://www.tropicos.org/Name/2700247","Aster sagittifolius","1","","","Wedem. ex Willd.","Asteraceae","Aster","1","sagittifolius","1","","","","","","","","","","","1","sagittifolius","1","No opinion","",TRUE,"http://www.tropicos.org/Name/50042346"
"40","39","Symphyotrichum shortii","(Lindl.) G.L. Nesom","Aster shortii","http://www.tropicos.org/Name/2700252","Aster shortii","1","","","Lindl.","Asteraceae","Aster","1","shortii","1","","","","","","","","","","","1","shortii","1","No opinion","",TRUE,"http://www.tropicos.org/Name/50042350"
"41","40","Barbarea vulgaris","W.T. Aiton","Barbarea vulgaris","http://www.tropicos.org/Name/4102250","Barbarea vulgaris","1","","","W.T. Aiton","Brassicaceae","Barbarea","1","vulgaris","1","","","","","","","","","","","1","vulgaris","1","No opinion","",TRUE,"http://www.tropicos.org/Name/4102250"
"42","41","Berberis thunbergii","DC.","Berberis thunbergii","http://www.tropicos.org/Name/3500183","Berberis thunbergii","1","","","DC.","Berberidaceae","Berberis","1","thunbergii","1","","","","","","","","","","","1","thunbergii","1","No opinion","",TRUE,"http://www.tropicos.org/Name/3500183"
"43","42","Bidens cernua","L.","Bidens cernua","http://www.tropicos.org/Name/2700297","Bidens cernua","1","","","L.","Asteraceae","Bidens","1","cernua","1","","","","","","","","","","","1","cernua","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700297"
"44","43","Bidens frondosa","L.","Bidens frondosa","http://www.tropicos.org/Name/2700300","Bidens frondosa","1","","","L.","Asteraceae","Bidens","1","frondosa","1","","","","","","","","","","","1","frondosa","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700300"
"45","44","Boehmeria cylindrica","(L.) Sw.","Boehmeria cylindrica","http://www.tropicos.org/Name/33400381","Boehmeria cylindrica","1","","","(L.) Sw.","Urticaceae","Boehmeria","1","cylindrica","1","","","","","","","","","","","1","cylindrica","1","No opinion","",TRUE,"http://www.tropicos.org/Name/33400381"
"46","45","Brassicaceae","Burnett","Brassicaceae family","http://www.tropicos.org/Name/42000136","Brassicaceae","0.5","Brassicaceae","1","Burnett","Brassicaceae","","","","","","","","","","","","","","family","0.5","","","No opinion","Brassicaceae",TRUE,"http://www.tropicos.org/Name/42000136"
"47","46","Bromus inermis","Leyss.","Bromis inermis","http://www.tropicos.org/Name/25509399","Bromus inermis","0.9694502693699","","","Leyss.","Poaceae","Bromus","0.83333333333333","inermis","1","","","","","","","","","","","0.9694502693699","inermis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/25509399"
"48","47","Bromus inermis","Leyss.","Bromus inermis","http://www.tropicos.org/Name/25509399","Bromus inermis","1","","","Leyss.","Poaceae","Bromus","1","inermis","1","","","","","","","","","","","1","inermis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/25509399"
"49","48","Campanula americana","L.","Campanula americana","http://www.tropicos.org/Name/5500051","Campanula americana","1","","","L.","Campanulaceae","Campanula","1","americana","1","","","","","","","","","","","1","americana","1","No opinion","",TRUE,"http://www.tropicos.org/Name/5500051"
"50","49","Carex blanda","Dewey","Carex blanda","http://www.tropicos.org/Name/9900124","Carex blanda","1","","","Dewey","Cyperaceae","Carex","1","blanda","1","","","","","","","","","","","1","blanda","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9900124"
"51","50","Carex gravida","L.H. Bailey","Carex gravida","http://www.tropicos.org/Name/9900190","Carex gravida","1","","","L.H. Bailey","Cyperaceae","Carex","1","gravida","1","","","","","","","","","","","1","gravida","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9900190"
"52","51","Carex hirtifolia","Mack.","Carex hirtifolia","http://www.tropicos.org/Name/9901587","Carex hirtifolia","1","","","Mack.","Cyperaceae","Carex","1","hirtifolia","1","","","","","","","","","","","1","hirtifolia","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9901587"
"53","52","Carex pensylvanica","Lam.","Carex pensylvanica","http://www.tropicos.org/Name/9900056","Carex pensylvanica","1","","","Lam.","Cyperaceae","Carex","1","pensylvanica","1","","","","","","","","","","","1","pensylvanica","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9900056"
"54","53","Carex rosea","Schkuhr ex Willd.","Carex rosea","http://www.tropicos.org/Name/9900281","Carex rosea","1","","","Schkuhr ex Willd.","Cyperaceae","Carex","1","rosea","1","","","","","","","","","","","1","rosea","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9900281"
"55","54","Carex sparganioides","Muhl. ex Willd.","Carex sparganioides","http://www.tropicos.org/Name/9901719","Carex sparganioides","1","","","Muhl. ex Willd.","Cyperaceae","Carex","1","sparganioides","1","","","","","","","","","","","1","sparganioides","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9901719"
"56","55","Carex tribuloides","Wahlenb.","Carex tribuloides","http://www.tropicos.org/Name/9902806","Carex tribuloides","1","","","Wahlenb.","Cyperaceae","Carex","1","tribuloides","1","","","","","","","","","","","1","tribuloides","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9902806"
"57","56","Carex vulpinoidea","Michx.","Carex vulpinoidea","http://www.tropicos.org/Name/9900321","Carex vulpinoidea","1","","","Michx.","Cyperaceae","Carex","1","vulpinoidea","1","","","","","","","","","","","1","vulpinoidea","1","No opinion","",TRUE,"http://www.tropicos.org/Name/9900321"
"58","57","Carya cordiformis","(Wangenh.) K. Koch","Carya cordiformis","http://www.tropicos.org/Name/16700018","Carya cordiformis","1","","","(Wangenh.) K. Koch","Juglandaceae","Carya","1","cordiformis","1","","","","","","","","","","","1","cordiformis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/16700018"
"59","58","Carya ovata","(Mill.) K. Koch","Carya ovata","http://www.tropicos.org/Name/16700033","Carya ovata","1","","","(Mill.) K. Koch","Juglandaceae","Carya","1","ovata","1","","","","","","","","","","","1","ovata","1","No opinion","",TRUE,"http://www.tropicos.org/Name/16700033"
"60","59","Caulophyllum thalictroides","(L.) Michx.","Caulophyllum thalictroides","http://www.tropicos.org/Name/3500004","Caulophyllum thalictroides","1","","","(L.) Michx.","Berberidaceae","Caulophyllum","1","thalictroides","1","","","","","","","","","","","1","thalictroides","1","No opinion","",TRUE,"http://www.tropicos.org/Name/3500004"
"61","60","Celastrus scandens","L.","Celastrus scandens","http://www.tropicos.org/Name/6600002","Celastrus scandens","1","","","L.","Celastraceae","Celastrus","1","scandens","1","","","","","","","","","","","1","scandens","1","No opinion","",TRUE,"http://www.tropicos.org/Name/6600002"
"62","61","Celtis occidentalis","L.","Celtis occidentalis","http://www.tropicos.org/Name/33300001","Celtis occidentalis","1","","","L.","Cannabaceae","Celtis","1","occidentalis","1","","","","","","","","","","","1","occidentalis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/33300001"
"63","62","Cercis canadensis","L.","Cercis canadensis","http://www.tropicos.org/Name/13028557","Cercis canadensis","1","","","L.","Fabaceae","Cercis","1","canadensis","1","","","","","","","","","","","1","canadensis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/13028557"
"64","63","Chenopodium album","L.","Chenopodium album","http://www.tropicos.org/Name/7200019","Chenopodium album","1","","","L.","Amaranthaceae","Chenopodium","1","album","1","","","","","","","","","","","1","album","1","No opinion","",TRUE,"http://www.tropicos.org/Name/7200019"
"65","64","Leucanthemum vulgare","Lam.","Chrysanthemum leucanthemum","http://www.tropicos.org/Name/2700549","Chrysanthemum leucanthemum","1","","","L.","Asteraceae","Chrysanthemum","1","leucanthemum","1","","","","","","","","","","","1","leucanthemum","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700996"
"66","65","Circaea lutetiana","L.","Circaea lutetiana","http://www.tropicos.org/Name/23200713","Circaea lutetiana","1","","","L.","Onagraceae","Circaea","1","lutetiana","1","","","","","","","","","","","1","lutetiana","1","No opinion","",TRUE,"http://www.tropicos.org/Name/23200713"
"67","66","Cirsium arvense","(L.) Scop.","Cirsium arvense","http://www.tropicos.org/Name/2700565","Cirsium arvense","1","","","(L.) Scop.","Asteraceae","Cirsium","1","arvense","1","","","","","","","","","","","1","arvense","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700565"
"68","67","Cirsium vulgare","(Savi) Ten.","Cirsium vulgare","http://www.tropicos.org/Name/2700598","Cirsium vulgare","1","","","(Savi) Ten.","Asteraceae","Cirsium","1","vulgare","1","","","","","","","","","","","1","vulgare","1","No opinion","",TRUE,"http://www.tropicos.org/Name/2700598"
"69","68","Cladrastis lutea","(Michx.) K. Koch","Cladrastis lutea","http://www.tropicos.org/Name/13048366","Cladrastis lutea","1","","","(Michx.) K. Koch","Fabaceae","Cladrastis","1","lutea","1","","","","","","","","","","","1","lutea","1","No opinion","",TRUE,"http://www.tropicos.org/Name/13048366"
"70","69","Convolvulus arvensis","L.","Convolvulus arvensis","http://www.tropicos.org/Name/8500005","Convolvulus arvensis","1","","","L.","Convolvulaceae","Convolvulus","1","arvensis","1","","","","","","","","","","","1","arvensis","1","No opinion","",TRUE,"http://www.tropicos.org/Name/8500005"
"71","70","Calystegia sepium var. sepium","","Convolvulus sepium","http://www.tropicos.org/Name/8501054","Convolvulus sepium","1","","","L.","Convolvulaceae","Convolvulus","1","sepium","1","","","","","","","","","","","1","sepium","1","No opinion","",TRUE,"http://www.tropicos.org/Name/8501399"
"72","71","Cornus racemosa","Lam.","Cornus racemosa","http://www.tropicos.org/Name/8700113","Cornus racemosa","1","","","Lam.","Cornaceae","Cornus","1","racemosa","1","","","","","","","","","","","1","racemosa","1","No opinion","",TRUE,"http://www.tropicos.org/Name/8700113"
"73","72","Coronilla varia","L.","Coronilla varia","http://www.tropicos.org/Name/13028858","Coronilla varia","1","","","L.","Fabaceae","Coronilla","1","varia","1","","","","","","","","","","","1","varia","1","No opinion","",TRUE,"http://www.tropicos.org/Name/13028858"
